권석원,27,1991/10/30,26,2013/06/01,52,52,516,35,32,70,2,7
김귀배,21,1962/12/18,55,1979/04/11,52,52,4285,313,315,69,2,3
김덕현,50,1992/11/02,25,2017/06/02,50,50,55,7,6,31,3,5
김동수,프,1986/12/23,31,2014/06/05,49,49,1612,157,158,340,48,41
김옥성,21,1967/04/05,51,1987/04/01,52,52,7694,527,617,107,6,13
김용근,프,1982/02/12,36,2005/05/04,51,51,3608,573,492,425,53,55
김정준,32,1989/07/04,29,2010/06/09,51,52,1613,92,118,246,15,29
김태훈,프,1995/07/17,23,2013/06/01,52,52,643,47,58,191,10,18
김효정,20,1996/01/01,22,2017/06/02,50,50,280,21,12,246,21,8
누네스,프,1975/11/12,42,2016/09/04,53,53,137,23,19,134,23,19
다나카,프,1984/02/19,34,2013/06/01,53,53,956,107,91,49,6,2
다비드,프,1989/02/14,29,2017/12/01,51,51,306,21,27,306,21,27
문성혁,25,1995/09/06,22,2018/06/15,50,50,7,1,0,7,1,0
문세영,프,1980/09/04,37,2001/07/06,52,52,7231,1454,1114,412,70,66
문정균,06,1973/12/06,44,1998/06/15,51,51,5831,423,498,247,12,22
박병윤,37,1987/04/24,31,2008/06/18,52,52,2026,130,163,232,13,18
박상우,28,1988/03/18,30,2009/06/01,52,52,2005,79,124,208,9,11
박을운,53,1975/04/04,43,1998/06/15,52,52,2963,361,348,284,50,32
박태종,프,1965/12/20,52,1987/04/01,51,51,13947,2055,1888,405,37,37
박현우,99,1990/12/01,27,2012/06/07,52,52,1410,94,80,58,0,3
방춘식,01,1969/09/19,48,1990/06/01,52,52,4436,357,356,107,3,7
부민호,15,1985/06/03,33,2007/06/01,52,52,1602,120,107,127,7,10
빅투아르,프,1986/12/11,31,2017/07/05,52,52,583,54,61,547,52,58
송재철,99,1990/10/24,27,2013/06/01,52,52,1839,122,158,0,0,0
신형철,32,1967/05/30,51,1988/04/01,52,52,6703,710,747,264,25,25
안토니오,프,1987/09/20,30,2017/05/06,53,53,667,77,72,516,64,54
안효리,37,1989/06/04,29,2012/06/07,51,51,1335,68,72,144,5,5
유승완,프,1985/12/17,32,2007/06/01,52,52,3380,267,258,274,27,22
윤영민,28,1973/12/15,44,1996/06/01,52,52,1693,70,86,4,0,0
윤태혁,19,1979/01/03,39,1999/09/01,54,54,1729,122,153,75,5,6
이강서,23,1988/03/19,30,2010/06/09,52,52,1073,53,56,130,3,7
이기회,27,1978/11/04,39,2004/06/02,52,52,3200,115,152,95,0,6
이동국,02,1979/11/23,38,2001/07/06,52,52,3313,216,249,84,3,4
이동진,18,1996/01/10,22,2017/06/02,49,49,340,27,28,317,26,25
이동하,20,1994/07/28,24,2016/06/18,48,48,630,50,71,337,29,37
이아나,27,1989/01/01,29,2011/08/24,50,50,1150,53,50,60,0,3
이준철,48,1980/02/23,38,1999/09/01,53,53,2777,212,252,133,16,15
이찬호,프,1992/05/27,26,2013/06/01,51,52,1576,207,180,171,20,17
이철경,51,1988/08/25,29,2016/06/18,49,49,525,48,47,231,19,17
이해동,52,1988/03/23,30,2009/06/01,51,51,1349,57,65,107,4,9
이혁,프,1987/01/05,31,2011/08/24,52,52,2739,215,198,434,41,34
이현종,99,1993/08/24,24,2015/06/18,49,49,672,89,65,0,0,0
임기원,프,1980/10/10,37,2013/06/19,49,49,1699,223,167,576,84,62
장추열,프,1988/09/11,29,2010/06/09,52,52,2590,232,249,498,55,58
정정희,24,1993/09/15,24,2014/06/05,49,49,1127,59,76,249,18,24
정평수,53,1965/04/16,53,1987/04/01,52,52,4766,284,374,31,1,0
조재로,29,1993/09/29,24,2015/06/18,49,49,894,84,75,286,25,20
조한별,19,1991/02/04,27,2013/06/01,51,51,796,30,55,199,7,9
지하주,03,1974/04/10,44,1995/07/01,51,51,3297,261,272,45,4,1
최범현,05,1979/04/11,39,2001/07/06,53,53,6072,753,708,237,28,27
최원준,13,1984/08/28,33,2007/06/01,52,52,1965,83,118,112,5,5
하정훈,54,1990/09/04,27,2015/06/18,49,49,755,44,57,220,9,18
함완식,52,1978/01/01,40,1998/06/15,53,53,5424,680,692,158,22,24
황순도,01,1977/10/26,40,1998/06/15,52,52,2246,82,129,46,0,3
황종우,17,1982/07/18,36,2007/05/19,51,51,761,25,33,32,0,0
